museum,source_label,canonical_components,record_count,proposal_decision,review_decision,final_canonical_components,attribution_type,strict_ground_truth_eligible,review_status,review_note,reviewer,review_date
CMA,"Central Andes, Northern Central Coast",,1,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
CMA,"Peru, North Coast, 9th-12th Century",,1,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
MET,Peruvian,,11,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
CMA,"Central Andes, Central Coast, Ychsma (Pachacamac) people",Ychsma,2,propuesta_aceptable,include_strict,Ychsma,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, Middle Horizon, Wari, 6th-11th century",Wari,3,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, North Coast, Chimú people",Chimu,1,propuesta_aceptable,include_strict,Chimu,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, South Coast, Nasca people",Nasca,1,propuesta_aceptable,include_strict,Nasca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, central coast, Chancay people",Chancay,1,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,16,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",Chancay,2,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Inca, 15th-16th century",Inca,1,propuesta_aceptable,include_strict,Inca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Moche, north coast",Moche,4,propuesta_aceptable,include_strict,Moche,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, North Coast, Chimú Culture, 12th-15th century",Chimu,3,propuesta_aceptable,include_strict,Chimu,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
